id	study_algorithm_engine_id	el_criteria_has_criterion_id	path	sequence
266	7	386	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.375.376.386	20
267	7	387	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.377.378.387	21
268	7	388	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.379.380.388	22
269	7	389	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.381.382.389	23
270	7	390	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.383.390	24
271	7	384	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.372.384	25
272	7	385	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.373.374.385	26
273	7	386	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.375.376.386	27
274	7	387	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.377.378.387	28
275	7	388	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.379.380.388	29
276	7	391	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.381.382.391	30
277	7	391	334.491-OR-G8.521-AND-G14.392-OR-G9.356-AND-G10.383.391	31
278	7	492	334.492-OR-G11	32
279	7	394	334.522-OR-G11.393.394	33
280	7	395	334.395-OR-G12	34
281	7	397	334.396-OR-G12.397	35
282	7	398	334.398-OR-G13	36
283	7	400	334.399-OR-G13.400	37
284	7	401	334.401-AND-G1	38
285	7	402	334.402-AND-G1	39
286	7	403	334.403-AND-G1	40
287	8	527	523.524-AND-G1.525-AND-G1.526-AND-G1.527-AND-G1	1
288	8	537	523.524-AND-G1.525-AND-G1.526-AND-G1.527-AND-G1.525-OR-G2.536-OR-G2.537-OR-G2	2
289	8	539	523.524-AND-G1.525-AND-G1.526-AND-G1.527-AND-G1.538-OR-G3.539-OR-G3	3
290	8	540	523.540-AND-G1	4
291	8	545	523.541-OR-G4.542-AND-G5.543.544.545	5
292	8	540	523.540-AND-G1	6
293	8	546	523.546-AND-G1	7
294	8	547	523.547-AND-G1	8
295	8	548	523.548-AND-G1	9
296	8	550	523.551-OR-G6.549-AND-G7.550	10
297	8	553	523.554-OR-G8.552-AND-G9.553	11
298	8	556	523.557-OR-G10.555-AND-G11.556	12
299	8	559	523.560-OR-G12.558-AND-G13.559	13
300	8	562	523.563-OR-G14.561-AND-G15.562	14
301	8	565	523.566-OR-G16.564-AND-G17.565	15
302	8	568	523.569-OR-G18.567-AND-G19.568	16
303	8	571	523.572-OR-G20.570-AND-G21.571	17
304	8	574	523.575-OR-G22.573-AND-G23.574	18
305	8	578	523.576-OR-G24.577-AND-G25.578	19
306	8	579	523.579-AND-G1	20
307	8	584	523.585-OR-G26.583-AND-G27.584	21
308	8	588	523.586-OR-G28.587-AND-G29.588	22
309	8	591	523.586-OR-G28.587-AND-G30.589.590-OR-G31.591-OR-G31	23
310	8	606	523.592-OR-G32.593-AND-G33.614.534-OR-G34.594.606	24
311	8	607	523.592-OR-G32.593-AND-G33.614.534-OR-G34.595.596.607	25
312	8	608	523.592-OR-G32.593-AND-G33.614.534-OR-G34.597.598.608	26
313	8	609	523.592-OR-G32.593-AND-G33.614.534-OR-G34.599.600.609	27
314	8	610	523.592-OR-G32.593-AND-G33.614.534-OR-G34.601.602.610	28
315	8	611	523.592-OR-G32.593-AND-G33.614.534-OR-G34.603.604.611	29
316	8	612	523.592-OR-G32.593-AND-G33.614.534-OR-G34.605.612	30
317	8	606	523.592-OR-G32.593-AND-G33.614.531-OR-G34.594.606	31
318	8	607	523.592-OR-G32.593-AND-G33.614.531-OR-G34.595.596.607	32
319	8	608	523.592-OR-G32.593-AND-G33.614.531-OR-G34.597.598.608	33
320	8	609	523.592-OR-G32.593-AND-G33.614.531-OR-G34.599.600.609	34
321	8	610	523.592-OR-G32.593-AND-G33.614.531-OR-G34.601.602.610	35
322	8	613	523.592-OR-G32.593-AND-G33.614.531-OR-G34.603.604.613	36
323	8	613	523.592-OR-G32.593-AND-G33.614.531-OR-G34.605.613	37
324	8	619	523.615-OR-G35.616-AND-G36.617.618.619	38
325	8	620	523.620-AND-G1	39
326	9	628	621.622-AND-G1	1
327	9	628	621.623-OR-G2.624.625.626.627.628	2
328	9	628	621.623-OR-G2.629.630.631.632.627.628	3
332	9	639	621.640-OR-G6.641-OR-G6.642-OR-G6	7
333	9	644	621.643-OR-G7.644-OR-G7	8
334	9	645	621.645-AND-G1	9
335	9	646	621.646-AND-G1	10
336	9	647	621.647-AND-G1	11
337	9	664	621.664-AND-G1	12
338	9	649	621.649-OR-G7.665-AND-G8.648-AND-G8	13
339	9	650	621.650-AND-G1	14
340	9	651	621.651-AND-G1	15
341	9	655	621.652-OR-G10.653-AND-G11.654-OR-G12.655-OR-G12	16
342	9	660	621.656-OR-G13.657-AND-G14.658.659-OR-G15.660-OR-G16	17
343	9	663	621.661-OR-G17.662-AND-G18.663-AND-G18	18
344	10	670	666.667-OR-G1.668.669.670	1
345	10	670	666.671-OR-G1.668.669.670	2
346	10	670	666.672-OR-G1.668.669.670	3
347	10	676	666.667-OR-G1.673.674.675.676	4
348	10	676	666.671-OR-G1.673.674.675.676	5
349	10	676	666.672-OR-G1.673.674.675.676	6
350	10	678	666.677-OR-G2.678	7
351	10	672	666.677-OR-G2.679.672	8
352	10	680	666.677-OR-G2.723.680	9
353	10	682	666.681-OR-G2.682	10
357	10	692	666.690-OR-G4.691-OR-G4.692-OR-G4	14
358	10	693	666.693-AND-G1	15
359	10	694	666.694-AND-G1	16
360	10	695	666.695-AND-G1	17
361	10	697	666.698-OR-G5.696-AND-G6.697-AND-G6	18
362	10	700	666.701-OR-G7.699-AND-G8.700-AND-G8	19
363	10	702	666.702-AND-G1	20
364	10	705	666.705-AND-G1	21
365	10	707	666.708-OR-G9.706-AND-G10.707-AND-G10	22
366	10	709	666.709-OR-G11	23
367	10	711	666.710-OR-G11.711	24
368	10	714	666.710-OR-G11.712.713-OR-G12.714-OR-G12	25
369	10	715	666.715-OR-G13	26
370	10	720	666.716-OR-G13.717.718.719.720	27
371	10	721	666.721-AND-G1	28
